angle,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
90,0.122082,0.263120,0.314653,0.382589,0.362796,0.448790,0.493468,0.552102,0.612760,0.652119,0.651945,0.619373,0.574873,0.548621,0.560051,0.581301,0.000333,0.796101,-0.912971,-1.046614,-0.022596,0.020964,0.065448,0.067527,0.090253,0.032306,0.318499,0.681501,0.342799,0.463165
90,0.120905,0.263064,0.314801,0.382499,0.362585,0.448634,0.493593,0.551935,0.612708,0.651426,0.651254,0.618061,0.575096,0.548362,0.560698,0.582460,0.000333,0.792992,-0.914293,-1.043031,-0.021106,0.011066,0.059414,0.064116,0.086693,0.030495,0.317434,0.682566,0.354016,0.477952
90,0.120736,0.263045,0.314804,0.382516,0.362609,0.448659,0.493445,0.551629,0.612885,0.651392,0.650917,0.618135,0.575190,0.548011,0.560989,0.583390,0.000333,0.793040,-0.914032,-1.045678,-0.021616,0.013590,0.061664,0.069541,0.093965,0.037939,0.317472,0.682528,0.354577,0.478375
90,0.088014,0.277839,0.329228,0.384132,0.350668,0.433593,0.488516,0.538813,0.606347,0.631835,0.637950,0.590410,0.564757,0.541135,0.550930,0.535753,0.000000,0.745971,-0.919140,-1.026232,-0.021080,0.035736,0.050415,0.075378,0.077741,-0.033209,0.305356,0.694644,0.636239,0.736556
90,0.056131,0.196268,0.250581,0.422860,0.361797,0.406125,0.427341,0.461716,0.530376,0.588357,0.628754,0.657699,0.686967,0.645912,0.576045,0.527390,0.000271,0.957174,-0.850618,-1.139861,0.161422,0.087402,-0.112622,-0.246819,0.105202,0.218253,0.379821,0.620179,0.191832,0.312285
90,0.054667,0.196360,0.249674,0.427199,0.364912,0.406378,0.425914,0.460894,0.527313,0.587538,0.628732,0.657532,0.690803,0.651825,0.579069,0.530624,0.000271,0.960289,-0.875778,-1.165243,0.156070,0.080880,-0.100655,-0.262118,0.116198,0.217115,0.380298,0.619702,0.179879,0.306125
90,0.054674,0.196395,0.249670,0.427096,0.365084,0.406379,0.425620,0.460678,0.527374,0.587473,0.628554,0.657760,0.690763,0.651698,0.578718,0.530630,0.000271,0.960232,-0.887402,-1.165333,0.157126,0.077117,-0.094599,-0.267484,0.117425,0.212962,0.380199,0.619801,0.180262,0.306847
90,0.029954,0.104453,0.193862,0.393821,0.414434,0.376049,0.372944,0.408636,0.472199,0.536240,0.588884,0.622281,0.586889,0.514423,0.432902,0.410716,0.000250,0.988675,-0.816471,-1.282450,0.280751,0.106318,-0.156662,-0.387170,-0.014858,0.144331,0.410253,0.589747,0.231387,0.349964
90,0.023931,0.102975,0.189125,0.452121,0.426833,0.400274,0.373673,0.418018,0.484005,0.536882,0.622580,0.665226,0.698322,0.663434,0.560429,0.499904,0.000250,0.679318,-0.856758,-1.329976,0.302864,0.132135,-0.184886,-0.408778,0.131515,0.292846,0.313546,0.686454,0.535395,0.692688
90,0.027337,0.109193,0.181462,0.465737,0.431122,0.400795,0.376767,0.424317,0.483836,0.534690,0.615484,0.656330,0.679538,0.640997,0.557395,0.493811,0.000250,0.675717,-0.863927,-1.328552,0.312636,0.147226,-0.198156,-0.394066,0.125554,0.263625,0.318795,0.681205,0.535251,0.628115
90,0.175116,0.246844,0.311149,0.387986,0.346006,0.413205,0.468902,0.481564,0.567909,0.588399,0.571734,0.571694,0.504379,0.527603,0.537238,0.528733,0.000313,0.665149,-0.904739,-1.053804,-0.001640,0.069218,-0.082273,-0.086705,-0.017858,-0.057059,0.310697,0.689303,0.545048,0.600488
90,0.042112,0.158754,0.234837,0.414742,0.403643,0.417074,0.393783,0.437263,0.495962,0.563861,0.637145,0.661039,0.689860,0.634728,0.562835,0.525693,0.000250,0.958623,-0.867398,-1.290355,0.234402,0.099769,-0.148577,-0.346793,0.130210,0.277115,0.388018,0.611982,0.168931,0.283493
90,0.025793,0.120547,0.170172,0.425285,0.430768,0.404343,0.370974,0.423402,0.467441,0.536580,0.620829,0.639099,0.659749,0.621123,0.533473,0.489565,0.000250,0.981455,-0.747810,-1.277628,0.330371,0.117821,-0.187426,-0.374748,0.234854,0.272173,0.388463,0.611537,0.255879,0.380678
90,0.051351,0.154037,0.239229,0.442619,0.399964,0.408054,0.380333,0.427958,0.479866,0.543452,0.636035,0.661692,0.667783,0.621167,0.570472,0.528760,0.000271,0.948083,-0.896662,-1.166298,0.238120,0.139951,-0.155986,-0.295553,0.052531,0.161474,0.382838,0.617162,0.188190,0.283109
90,0.100198,0.239420,0.312091,0.392220,0.379028,0.447647,0.482753,0.543274,0.602372,0.650034,0.640324,0.605133,0.576504,0.542359,0.546150,0.566262,0.000354,0.695262,-0.907763,-0.988186,-0.022058,0.007359,0.048777,0.061916,0.094070,0.034025,0.306777,0.693223,0.492877,0.625833
0,0.018812,0.030898,-0.060792,0.067989,0.041507,-0.005469,-0.062756,0.064033,0.134186,0.029165,-0.039312,-0.020495,-0.005448,-0.024169,-0.018919,-0.000293,0.000000,0.589106,0.041142,-0.035469,0.080592,-0.195756,-0.059042,-0.105417,-0.130647,0.324848,0.494923,0.505077,1.173408,1.162762
0,0.002001,0.007229,-0.045322,0.061671,0.022837,-0.027817,-0.027693,0.062368,0.064184,0.002938,-0.037564,-0.013945,0.040586,0.049102,0.049170,0.007605,0.000000,0.991930,0.027848,-0.080652,0.027675,-0.128584,-0.029431,-0.170562,-0.175259,-0.142425,0.494803,0.505197,0.559588,0.563367
0,0.004365,0.011127,-0.048968,0.059514,0.017366,-0.031794,-0.014048,0.084246,0.041317,-0.013455,-0.041321,-0.000983,0.028132,0.046925,0.020705,-0.026579,0.000000,0.995443,0.021110,-0.088909,0.019777,-0.131519,-0.025497,-0.191475,-0.159805,-0.137561,0.496400,0.503600,0.445508,0.444419
0,0.004409,0.011117,-0.048967,0.059574,0.017377,-0.031767,-0.013961,0.084384,0.040849,-0.013984,-0.039869,0.000003,0.028990,0.046182,0.019802,-0.026489,0.000000,0.995393,0.021067,-0.087602,0.019383,-0.123458,-0.027427,-0.196245,-0.158557,-0.141768,0.496373,0.503627,0.447989,0.446952
0,0.004293,0.011846,-0.048783,0.059214,0.017488,-0.032971,-0.012107,0.083109,0.037217,-0.014689,-0.038165,0.000561,0.028628,0.042747,0.008993,-0.028746,0.000000,0.995524,0.020442,-0.088402,0.019984,-0.127620,-0.025007,-0.199563,-0.161501,-0.159988,0.496614,0.503386,0.437959,0.436483
0,0.010780,0.026480,-0.108474,0.066464,0.040981,-0.023093,-0.087697,0.048168,0.146371,0.058678,-0.054833,-0.030499,0.006258,0.073311,0.122026,0.324098,0.000000,0.996153,0.021148,-0.130357,0.068015,-0.259088,-0.073321,-0.211014,-0.383074,-0.483031,0.495084,0.504916,0.292959,0.304734
0,0.011332,0.025478,-0.114930,0.070476,0.043120,-0.022172,-0.089210,0.061625,0.146229,0.058095,-0.052404,-0.026257,0.005561,0.074740,0.137791,0.320749,0.000000,0.998574,0.023345,-0.130926,0.066595,-0.257859,-0.071840,-0.202527,-0.393899,-0.482711,0.494223,0.505777,0.239071,0.248036
0,0.011342,0.025470,-0.114902,0.070545,0.043075,-0.022204,-0.089220,0.061727,0.146225,0.058174,-0.052402,-0.026169,0.005503,0.074732,0.138016,0.320748,0.000000,0.998563,0.023693,-0.130544,0.066593,-0.256934,-0.071907,-0.203454,-0.393842,-0.481730,0.494187,0.505813,0.240433,0.249570
0,0.012369,0.025069,-0.130769,0.068096,0.044605,-0.020645,-0.091231,0.066293,0.145030,0.059924,-0.048378,-0.019650,0.001163,0.075506,0.135156,0.302097,0.000000,0.999098,0.026783,-0.122327,0.071805,-0.255834,-0.076444,-0.197004,-0.393713,-0.465652,0.493400,0.506600,0.216143,0.223115
